App,Industry,Company,City,Country
Rank,n/a,Eadel,Akaki,Cyprus
Latlux,Investment Managers,Linkbridge,Inozemtsevo,Russia
Stronghold,Major Banks,Linkbridge,Ala-Buka,Kyrgyzstan
Quo Lux,n/a,Linkbridge,Bromma,Sweden
Cardguard,n/a,Gabtype,Tây Ninh,Vietnam
Namfix,Major Banks,Eadel,Bromma,Sweden
Domainer,Computer Software: Prepackaged Software,Gabtype,Bahāwalpur,Pakistan
Transcof,Investment Bankers/Brokers/Service,Kimia,Ai Tu,Vietnam
Andalax,Military/Government/Technical,Linkbridge,Yiyang,China
Matsoft,Military/Government/Technical,Linkbridge,Atouguia,Portugal
Transcof,Major Banks,Meetz,Iksan,South Korea
Wrapsafe,Other Pharmaceuticals,Tagfeed,Ala-Buka,Kyrgyzstan
Matsoft,Business Services,Realbuzz,Yiyang,China
Cookley,Investment Managers,Realbuzz,Daruoyan,China
Asoka,Investment Managers,Linkbridge,Zhuangshi,China
Vagram,n/a,Eadel,Inozemtsevo,Russia
Alphazap,Major Banks,Zoombeat,Tây Ninh,Vietnam
Lotlux,Major Banks,Linkbridge,Bromma,Sweden
Vagram,Investment Managers,Ozu,Iksan,South Korea
Biodex,Major Banks,Linkbridge,Tokombere,Nigeria
Vagram,Other Pharmaceuticals,Kimia,Ala-Buka,Kyrgyzstan
Redhold,Major Banks,Yabox,Selikhino,Russia
Ventosanzap,Diversified Commercial Services,Linkbridge,Yiyang,China
Bytecard,n/a,Linkbridge,Ai Tu,Vietnam
Trippledex,Military/Government/Technical,Meetz,Pantin,France
Daltfresh,Military/Government/Technical,Eadel,Obudu,Nigeria
Quo Lux,n/a,Tavu,Inozemtsevo,Russia
Kanlam,Telecommunications Equipment,Ozu,Atouguia,Portugal
Tampflex,Military/Government/Technical,Zoomcast,Akaki,Cyprus
Bitchip,Investment Managers,Yabox,Bromma,Sweden
Zontrax,Business Services,Gigazoom,Ai Tu,Vietnam
Sonsing,Telecommunications Equipment,Zoomcast,Obudu,Nigeria
Zontrax,n/a,Linkbridge,Daruoyan,China
Transcof,Investment Bankers/Brokers/Service,Zoomcast,Iksan,South Korea
Wrapsafe,Computer Software: Prepackaged Software,Gabtype,Bantengan,Indonesia
Home Ing,Investment Managers,Gabtype,Ai Tu,Vietnam
Bytecard,Investment Bankers/Brokers/Service,Meetz,Daruoyan,China
Bitchip,Major Banks,Zoomcast,Tokombere,Nigeria
Flexidy,Investment Managers,Meetz,Akaki,Cyprus
Bigtax,Investment Managers,Zoombeat,Atouguia,Portugal
Alpha,Telecommunications Equipment,Eadel,Bahāwalpur,Pakistan
Zontrax,Other Pharmaceuticals,Gigazoom,Pantin,France
Fixflex,Business Services,Gabtype,Atouguia,Portugal
Lotlux,Computer Software: Prepackaged Software,Gabtype,Zhuangshi,China
Stronghold,Other Pharmaceuticals,Linkbridge,Bahāwalpur,Pakistan
Kanlam,Major Banks,Eadel,Iksan,South Korea
Bytecard,Investment Managers,Gigazoom,Tây Ninh,Vietnam
Daltfresh,Computer Software: Prepackaged Software,Gabtype,Obudu,Nigeria
Home Ing,n/a,Linkbridge,Iksan,South Korea
Zaam-Dox,Telecommunications Equipment,Gabtype,Selikhino,Russia
Temp,Computer Software: Prepackaged Software,Gabtype,Iksan,South Korea
Sonair,Diversified Commercial Services,Meetz,Bahāwalpur,Pakistan
Span,n/a,Meetz,Zhuangshi,China
Transcof,Major Banks,Gigazoom,Selikhino,Russia
Daltfresh,Other Pharmaceuticals,Linkbridge,Selikhino,Russia
Transcof,Other Pharmaceuticals,Meetz,Bromma,Sweden
Transcof,Investment Bankers/Brokers/Service,Eadel,Zhuangshi,China
Fintone,n/a,Ozu,Tây Ninh,Vietnam
Regrant,Major Banks,Ozu,Pantin,France
Zathin,Major Banks,Meetz,Inozemtsevo,Russia
Redhold,Major Banks,Kimia,Tây Ninh,Vietnam
Trippledex,n/a,Ozu,Tokombere,Nigeria
Fixflex,Diversified Commercial Services,Zoombeat,Tokombere,Nigeria
Duobam,Business Services,Zoombeat,Pantin,France
Domainer,Investment Bankers/Brokers/Service,Ozu,Bromma,Sweden
Asoka,Other Pharmaceuticals,Ozu,Obudu,Nigeria
Subin,Major Banks,Gabtype,Tây Ninh,Vietnam
Overhold,Investment Bankers/Brokers/Service,Yabox,Ala-Buka,Kyrgyzstan
Job,n/a,Kimia,Atouguia,Portugal
Wrapsafe,Major Banks,Zoomcast,Bahāwalpur,Pakistan
Keylex,Investment Bankers/Brokers/Service,Linkbridge,Inozemtsevo,Russia
Daltfresh,Diversified Commercial Services,Flashdog,Atouguia,Portugal
Cardguard,n/a,Zoombeat,Ai Tu,Vietnam
Bigtax,Diversified Commercial Services,Linkbridge,Obudu,Nigeria
Bitwolf,Military/Government/Technical,Gigazoom,Daruoyan,China
Fixflex,n/a,Meetz,Yiyang,China
Alphazap,Diversified Commercial Services,Ozu,Akaki,Cyprus
Overhold,Business Services,Linkbridge,Daruoyan,China
Asoka,n/a,Zoomcast,Zhuangshi,China
Namfix,Computer Software: Prepackaged Software,Gabtype,Akaki,Cyprus
Sonsing,Telecommunications Equipment,Meetz,Ala-Buka,Kyrgyzstan
Lotlux,Business Services,Ozu,Zhuangshi,China
Ronstring,Diversified Commercial Services,Realbuzz,Selikhino,Russia
Asoka,Business Services,Yabox,Inozemtsevo,Russia
Stringtough,Military/Government/Technical,Ozu,Ai Tu,Vietnam
Wrapsafe,Other Pharmaceuticals,Yabox,Yiyang,China
Ronstring,Military/Government/Technical,Meetz,Selikhino,Russia
Cardguard,n/a,Gigazoom,Ala-Buka,Kyrgyzstan
Sonsing,Computer Software: Prepackaged Software,Tagfeed,Selikhino,Russia
Overhold,Other Pharmaceuticals,Gabtype,Tokombere,Nigeria
Flowdesk,Business Services,Linkbridge,Akaki,Cyprus
Alphazap,Telecommunications Equipment,Gigazoom,Yiyang,China
Latlux,Major Banks,Omba,Bahāwalpur,Pakistan
Veribet,Business Services,Meetz,Obudu,Nigeria
Overhold,Investment Bankers/Brokers/Service,Linkbridge,Tây Ninh,Vietnam
Trippledex,Diversified Commercial Services,Yabox,Daruoyan,China
Andalax,Major Banks,Gabtype,Ala-Buka,Kyrgyzstan
Redhold,Diversified Commercial Services,Gabtype,Pantin,France
Opela,Telecommunications Equipment,Linkbridge,Pantin,France
Sub-Ex,Telecommunications Equipment,Meetz,Tokombere,Nigeria
